time start,time end,duration (s),source address,destination address,source port,destination port ,protocol,flags,packets,bytes
2020-04-28 14:43:36,2020-04-28 14:43:37,0.832,193.136.126.43,10.130.16.46,58935,80,TCP,.AP.SF,15,1555
2020-04-28 14:43:38,2020-04-28 14:43:38,0.003,10.130.16.46,193.136.126.43,80,58940,TCP,.AP.SF,5,665
2020-04-28 14:43:38,2020-04-28 14:43:38,0.003,193.136.126.43,10.130.16.46,58940,80,TCP,.AP.SF,5,757
2020-04-28 14:43:38,2020-04-28 14:43:40,1.627,54.175.144.198,193.136.126.43,32030,443,TCP,.AP.SF,15,1517
2020-04-28 14:43:38,2020-04-28 14:43:40,1.627,193.136.126.43,54.175.144.198,443,32030,TCP,.AP.SF,12,17586
2020-04-28 14:43:39,2020-04-28 14:43:39,0.792,10.130.16.46,193.136.126.43,80,58943,TCP,.AP.SF,12,12000
2020-04-28 14:43:39,2020-04-28 14:43:39,0.792,193.136.126.43,10.130.16.46,58943,80,TCP,.AP.SF,12,992
2020-04-28 14:43:39,2020-04-28 14:43:43,4.075,10.130.16.46,193.136.126.43,80,58944,TCP,.AP.SF,69,89321
2020-04-28 14:43:39,2020-04-28 14:43:43,4.075,193.136.126.43,10.130.16.46,58944,80,TCP,.AP.SF,57,4432
2020-04-28 14:43:41,2020-04-28 14:43:44,3.190,177.89.164.47,193.136.126.43,56751,443,TCP,.AP.SF,12,2044
2020-04-28 14:43:41,2020-04-28 14:43:44,3.190,193.136.126.43,177.89.164.47,443,56751,TCP,.AP.SF,9,7516
2020-04-28 14:43:43,2020-04-28 14:46:32,169.038,95.93.146.157,193.136.126.43,4701,443,TCP,.AP.S.,100,13790
2020-04-28 14:43:43,2020-04-28 14:46:32,169.038,193.136.126.43,95.93.146.157,443,4701,TCP,.APRSF,54,396250
2020-04-28 14:43:43,2020-04-28 14:43:43,0.003,10.130.16.46,193.136.126.43,80,58951,TCP,.AP.SF,5,665
2020-04-28 14:43:43,2020-04-28 14:43:43,0.003,193.136.126.43,10.130.16.46,58951,80,TCP,.AP.SF,5,759
2020-04-28 14:43:44,2020-04-28 14:45:18,94.225,81.84.48.90,193.136.126.43,57223,443,TCP,.APRS.,54,15009
2020-04-28 14:43:44,2020-04-28 14:45:18,94.225,193.136.126.43,81.84.48.90,443,57223,TCP,.AP.SF,56,411009
2020-04-28 14:43:44,2020-04-28 14:43:44,0.066,81.84.48.90,193.136.126.43,57224,443,TCP,.AP.SF,7,632
2020-04-28 14:43:44,2020-04-28 14:43:44,0.066,193.136.126.43,81.84.48.90,443,57224,TCP,.AP.SF,6,5437
2020-04-28 14:43:44,2020-04-28 14:43:44,0.000,89.180.189.239,193.136.126.43,45641,443,TCP,.AP..F,1,52
2020-04-28 14:43:44,2020-04-28 14:43:44,0.000,193.136.126.43,89.180.189.239,443,45641,TCP,...R..,1,40
